exon_id,n_samples,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
FUN_008081_38617,39,5539274,100,5-fold,0.7350333874347239,0.23200612755470743,0.7286066418671473,0.14405829967940856,1.8665277673509337,0.95,87,0.7350333874347239,RF,Apul
FUN_014668_69245,39,5539274,100,5-fold,-0.02741035525497728,1.4303344490170493,0.016334552675892056,1.4277904771121077,2.665095658071319,0.7,98,0.016334552675892056,ElasticNet,Apul
FUN_036251_168511,39,5539274,100,5-fold,-0.7419470102031869,2.2590115263569666,-1.0520882070089908,2.9022750678730036,18.808333018585675,0.5,96,-0.7419470102031869,RF,Apul
FUN_004766_22586,39,5539274,100,5-fold,0.08630636077944376,1.086342359440124,0.5202185738334343,0.5300078938919667,2.995032147763131,0.7,96,0.5202185738334343,ElasticNet,Apul
FUN_014542_68406,39,5539274,100,5-fold,0.6915490103548135,0.11846867069468578,0.7291301374378383,0.11734456291977241,2.687987105408905,0.7,96,0.7291301374378383,ElasticNet,Apul
FUN_044043_208489,39,5539274,100,5-fold,-0.8703848707435743,2.958776964350413,-1.3057466140470664,3.780893996306415,5.046981964949025,0.5,98,-0.8703848707435743,RF,Apul
FUN_038503_181587,39,5539274,100,5-fold,-0.6849092467178783,2.357336113424286,0.29301759800429317,0.6662141989223183,2.7780401699135755,0.7,97,0.29301759800429317,ElasticNet,Apul
FUN_024426_110494,39,5539274,100,5-fold,-7.448338611363253,9.123409353915424,-9.713522831076565,18.035686452231037,43.29020053498609,0.9,76,-7.448338611363253,RF,Apul
FUN_008781_43316,39,5539274,100,5-fold,-0.027413472719933153,0.8047016779574914,-0.32485786348696327,1.1736748324965764,2.1934023113456615,0.99,64,-0.027413472719933153,RF,Apul
FUN_036148_167691,39,5539274,100,5-fold,0.6876742426840783,0.08712914395738541,0.7604055789626286,0.06182038437424947,4.887103941661857,0.5,99,0.7604055789626286,ElasticNet,Apul
FUN_018530_87782,39,5539274,100,5-fold,-0.998766375218489,2.898177169128849,0.002951928651163027,1.0081272516900146,3.1510740759324727,0.7,98,0.002951928651163027,ElasticNet,Apul
FUN_032305_147443,39,5539274,100,5-fold,-0.49634379165274006,1.7041218160128118,0.316454149298079,0.5060126111226816,5.558069840790432,0.5,98,0.316454149298079,ElasticNet,Apul
FUN_024432_110518,39,5539274,100,5-fold,-1.9772225269583228,3.5237354404638634,-1.29832956822192,2.5748351160215788,5.597525087633833,0.5,99,-1.29832956822192,ElasticNet,Apul
FUN_015433_74556,39,5539274,100,5-fold,0.6327158472156645,0.1586549621811491,0.5554640722975172,0.2126567718390486,4.119037795995053,0.7,96,0.6327158472156645,RF,Apul
FUN_026023_119323,39,5539274,100,5-fold,0.5317466169502741,0.1467047125362213,0.3027888177416173,0.6024593747359893,73.55496636985782,0.99,52,0.5317466169502741,RF,Apul
FUN_041408_193313,39,5539274,100,5-fold,-1.4833507677532916,3.299872626160283,-1.668154902905415,4.140009576418791,18.525433711978017,0.5,99,-1.4833507677532916,RF,Apul
FUN_007900_37544,39,5539274,100,5-fold,-0.6635936099997133,1.5906502901905115,0.06764246924909653,0.5882819633986711,2.0888877112463318,0.9,90,0.06764246924909653,ElasticNet,Apul
FUN_008081_38616,39,5539274,100,5-fold,-0.34774005969546457,2.2522801853802292,0.6007211163373126,0.3536971010128901,2.6244242344823814,0.7,96,0.6007211163373126,ElasticNet,Apul
FUN_006225_29525,39,5539274,100,5-fold,-0.31094071042396354,0.9839314016506172,-0.04914856118139066,0.8413151336351341,12.06819095658616,0.5,99,-0.04914856118139066,ElasticNet,Apul
FUN_001086_5142,39,5539274,100,5-fold,-5.966295493801351,12.701899532993043,-4.844777611425827,10.480986145986593,2.0331889438735464,0.95,87,-4.844777611425827,ElasticNet,Apul
FUN_009441_46728,39,5539274,100,5-fold,0.5617844900350683,0.1743847988669313,0.6100011797608886,0.2893023583090694,6.152320134564083,0.5,99,0.6100011797608886,ElasticNet,Apul
FUN_008887_43820,39,5539274,100,5-fold,0.09770004875245811,0.8549419939922406,0.32371128090101625,0.6796710280175273,4.269189335221195,0.5,100,0.32371128090101625,ElasticNet,Apul
FUN_008013_38191,39,5539274,100,5-fold,0.5057318034553274,0.2862640294588821,0.7014689381507015,0.16997348424183048,1.9629756283971098,0.99,72,0.7014689381507015,ElasticNet,Apul
FUN_014542_68407,39,5539274,100,5-fold,0.611474509951024,0.18692186746408854,0.7625849775641912,0.11102781169463934,3.8692917474443753,0.7,98,0.7625849775641912,ElasticNet,Apul
FUN_038804_183143,39,5539274,100,5-fold,0.6950058894668093,0.09622994930425703,0.7773811887545237,0.03661919459055461,3.8341657026881957,0.5,100,0.7773811887545237,ElasticNet,Apul
FUN_039889_186966,39,5539274,100,5-fold,0.4255334829171492,0.2251235023375109,0.5067874653322108,0.16737198607988912,9.737363627448167,0.95,81,0.5067874653322108,ElasticNet,Apul
FUN_002801_13864,39,5539274,100,5-fold,-0.09109992986509444,0.7273575340965219,-5.105598316476565,10.420290628041537,13.207589335770946,0.7,95,-0.09109992986509444,RF,Apul
FUN_014094_66500,39,5539274,100,5-fold,-352.10788687738824,701.8943187083664,-41.666812311124545,83.69119555741938,4.1654318919477875,0.5,99,-41.666812311124545,ElasticNet,Apul
FUN_037353_173126,39,5539274,100,5-fold,-1.8528949571447026,4.616785106128064,-0.9620557108397755,2.9204510915025828,10.615055715136865,0.5,96,-0.9620557108397755,ElasticNet,Apul
FUN_029308_135139,39,5539274,100,5-fold,-8.171967363587083,16.471642772698452,-12.35036458179053,25.129642795023045,28.602622094487852,0.99,64,-8.171967363587083,RF,Apul
FUN_009677_47593,39,5539274,100,5-fold,0.32385168195173075,0.49776040611361244,0.708768270367972,0.11045025135536915,3.996942578951636,0.5,100,0.708768270367972,ElasticNet,Apul
FUN_043604_207110,39,5539274,100,5-fold,-0.5505356664130396,1.4066951788107662,-0.20223157550021303,1.2477972443234158,4.347698457112835,0.7,95,-0.20223157550021303,ElasticNet,Apul
FUN_042841_201245,39,5539274,100,5-fold,0.6982796033734466,0.09981262176348384,0.8325296078868843,0.05837517638450896,1.9126280808573755,0.9,87,0.8325296078868843,ElasticNet,Apul
FUN_004094_17809,39,5539274,100,5-fold,-0.37444968269913537,0.9107531154546066,0.6600572543468994,0.16654245572029514,2.579908993825266,0.95,78,0.6600572543468994,ElasticNet,Apul
FUN_037291_172689,39,5539274,100,5-fold,0.5027507897351229,0.14920401126577246,0.6057191637512226,0.18115628822976254,3.922123782402825,0.5,99,0.6057191637512226,ElasticNet,Apul
FUN_033953_155033,39,5539274,100,5-fold,-0.3703374098330318,1.2715561085739089,-0.8062457996797574,1.8950667268816568,20.83631089955698,0.99,44,-0.3703374098330318,RF,Apul
FUN_025925_118421,39,5539274,100,5-fold,0.5897225967725693,0.17058376072630996,0.5593193067570146,0.2214775364117397,2.8690249142318107,0.7,97,0.5897225967725693,RF,Apul
FUN_023170_103426,39,5539274,100,5-fold,-16.372122535828,28.646141831378284,-8.151315026010739,10.845288490874495,4.580533189495471,0.5,95,-8.151315026010739,ElasticNet,Apul
FUN_041944_197533,39,5539274,100,5-fold,0.5803262049063072,0.315091763383666,0.6772040923083477,0.22756104387333004,2.3198107583201697,0.9,90,0.6772040923083477,ElasticNet,Apul
FUN_026413_121709,39,5539274,100,5-fold,0.7367755225915773,0.1092621449217064,0.7649838554199772,0.11743800527291354,2.8981066077432955,0.99,59,0.7649838554199772,ElasticNet,Apul
FUN_015420_74472,39,5539274,100,5-fold,-0.07831325640342468,0.8186850508454379,0.2838745197887662,0.29299470772535774,3.613660208352136,0.5,100,0.2838745197887662,ElasticNet,Apul
