species,gene_id,n_timepoints,min_consensus,mean_consensus,all_high_consensus,n_distinct_consensus,consensus_by_tp,tp1_exon,tp2_exon,tp3_exon,tp4_exon,shift_category
Porites evermanni,gene-Peve_00020915,2,1,1,TRUE,2,TP1:109355; TP2:109354,109355,109354,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020950,3,1,1,TRUE,2,TP1:109829; TP3:109831; TP4:109831,109829,NA,109831,109831,Timepoint-Coordinated
Porites evermanni,gene-Peve_00020982,2,1,1,TRUE,2,TP1:109997; TP4:109996,109997,NA,NA,109996,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021002,2,1,1,TRUE,2,TP1:110131; TP3:110130,110131,NA,110130,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021020,2,1,1,TRUE,2,TP1:110214; TP2:110213,110214,110213,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021115,2,1,1,TRUE,2,TP1:110737; TP3:110735,110737,NA,110735,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021128,3,1,1,TRUE,2,TP1:110746; TP2:110745; TP3:110745,110746,110745,110745,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021162,3,1,1,TRUE,2,TP1:110860; TP2:110861; TP3:110860,110860,110861,110860,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021201,4,1,1,TRUE,2,TP1:111145; TP2:111146; TP3:111146; TP4:111146,111145,111146,111146,111146,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021205,2,1,1,TRUE,2,TP1:111188; TP2:111189,111188,111189,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021230,4,1,1,TRUE,2,TP1:111211; TP2:111211; TP3:111213; TP4:111211,111211,111211,111213,111211,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021266,3,1,1,TRUE,3,TP1:111366; TP2:111367; TP4:111368,111366,111367,NA,111368,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021296,4,0.7142857142857143,0.7410714285714286,TRUE,2,TP1:111528; TP2:111529; TP3:111528; TP4:111528,111528,111529,111528,111528,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021313,2,1,1,TRUE,2,TP2:111561; TP4:111562,NA,111561,NA,111562,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021365,2,1,1,TRUE,2,TP1:111709; TP2:111710,111709,111710,NA,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021444,3,1,1,TRUE,2,TP1:112019; TP3:112018; TP4:112018,112019,NA,112018,112018,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021525,4,1,1,TRUE,2,TP1:112383; TP2:112385; TP3:112385; TP4:112383,112383,112385,112385,112383,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021536,2,1,1,TRUE,2,TP2:112416; TP4:112417,NA,112416,NA,112417,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021564,3,1,1,TRUE,3,TP1:112547; TP3:112549; TP4:112551,112547,NA,112549,112551,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021575,3,1,1,TRUE,2,TP1:112582; TP2:112582; TP4:112583,112582,112582,NA,112583,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021665,2,1,1,TRUE,2,TP2:113250; TP4:113251,NA,113250,NA,113251,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021669,2,1,1,TRUE,2,TP1:113285; TP3:113284,113285,NA,113284,NA,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021716,4,0.75,0.9375,TRUE,3,TP1:113366; TP2:113367; TP3:113366; TP4:113368,113366,113367,113366,113368,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021789,4,1,1,TRUE,4,TP1:113775; TP2:113776; TP3:113778; TP4:113779,113775,113776,113778,113779,Timepoint-Coordinated
Porites evermanni,gene-Peve_00021808,2,1,1,TRUE,2,TP1:113880; TP4:113878,113880,NA,NA,113878,Timepoint-Coordinated
