species,gene_id,n_samples,n_unique_exons,n_shifts,modal_exon,modal_fraction,shift_type
Acropora pulchra,FUN_000336,25,2,2,1505,0.96,Rare shift
Acropora pulchra,FUN_000337,40,2,4,1507,0.95,Rare shift
Acropora pulchra,FUN_000338,39,3,12,1510,0.8205128205128205,Minor shift
Acropora pulchra,FUN_000339,32,2,11,1513,0.75,Minor shift
Acropora pulchra,FUN_000340,40,4,26,1515,0.425,Robust shift
Acropora pulchra,FUN_000341,40,4,27,1522,0.5,Robust shift
Acropora pulchra,FUN_000342,33,2,4,1525,0.9393939393939394,Rare shift
Acropora pulchra,FUN_000343,29,2,2,1527,0.9655172413793104,Rare shift
Acropora pulchra,FUN_000344,32,3,21,1529,0.5,Robust shift
Acropora pulchra,FUN_000345,40,5,24,1535,0.625,Minor shift
Acropora pulchra,FUN_000346,40,2,11,1539,0.825,Minor shift
Acropora pulchra,FUN_000347,38,5,28,1540,0.5,Robust shift
Acropora pulchra,FUN_000348,40,4,21,1545,0.4,Robust shift
Acropora pulchra,FUN_000350,40,2,2,1556,0.975,Rare shift
Acropora pulchra,FUN_000351,40,11,31,1584,0.325,Robust shift
Acropora pulchra,FUN_000352,40,4,15,1587,0.775,Minor shift
Acropora pulchra,FUN_000353,39,3,14,1619,0.5641025641025641,Robust shift
Acropora pulchra,FUN_000355,8,1,0,1622,1,No shift
Acropora pulchra,FUN_000356,36,7,23,1631,0.3611111111111111,Robust shift
Acropora pulchra,FUN_000359,40,3,3,1637,0.875,Minor shift
Acropora pulchra,FUN_000360,11,5,8,1642,0.2727272727272727,Robust shift
Acropora pulchra,FUN_000362,29,8,26,1656,0.27586206896551724,Robust shift
Acropora pulchra,FUN_000366,19,3,5,1665,0.7894736842105263,Minor shift
Acropora pulchra,FUN_000367,23,2,8,1669,0.5217391304347826,Robust shift
Acropora pulchra,FUN_000368,9,2,1,1671,0.6666666666666666,Minor shift
Acropora pulchra,FUN_000369,40,3,14,1676,0.65,Minor shift
Acropora pulchra,FUN_000370,40,4,26,1678,0.45,Robust shift
Acropora pulchra,FUN_000371,40,4,17,1691,0.75,Minor shift
Acropora pulchra,FUN_000372,40,4,20,1693,0.6,Minor shift
Acropora pulchra,FUN_000373,40,6,28,1705,0.45,Robust shift
Acropora pulchra,FUN_000374,34,7,23,1706,0.4411764705882353,Robust shift
