species,gene_id,timepoints_observed,consistent_exon_per_tp,different_exons_across_tp
Acropora pulchra,FUN_014322,4,TRUE,TRUE
Acropora pulchra,FUN_014344,3,TRUE,TRUE
Acropora pulchra,FUN_014380,3,TRUE,TRUE
Acropora pulchra,FUN_014382,3,TRUE,TRUE
Acropora pulchra,FUN_014387,3,TRUE,TRUE
Acropora pulchra,FUN_014391,3,TRUE,TRUE
Acropora pulchra,FUN_014410,2,TRUE,TRUE
Acropora pulchra,FUN_014414,3,TRUE,TRUE
Acropora pulchra,FUN_014469,3,TRUE,TRUE
Acropora pulchra,FUN_014649,3,TRUE,TRUE
Acropora pulchra,FUN_014828,4,TRUE,TRUE
Acropora pulchra,FUN_014866,3,TRUE,TRUE
Acropora pulchra,FUN_014934,2,TRUE,TRUE
Acropora pulchra,FUN_015048,2,TRUE,TRUE
Acropora pulchra,FUN_015121,3,TRUE,TRUE
Acropora pulchra,FUN_015171,4,TRUE,TRUE
Acropora pulchra,FUN_015205,3,TRUE,TRUE
Acropora pulchra,FUN_015277,3,TRUE,TRUE
Acropora pulchra,FUN_015482,4,TRUE,TRUE
Acropora pulchra,FUN_015489,2,TRUE,TRUE
Acropora pulchra,FUN_015496,4,TRUE,TRUE
Acropora pulchra,FUN_015511,3,TRUE,TRUE
Acropora pulchra,FUN_015516,2,TRUE,TRUE
Acropora pulchra,FUN_015571,3,TRUE,TRUE
Acropora pulchra,FUN_015575,3,TRUE,TRUE
Acropora pulchra,FUN_015697,4,TRUE,TRUE
Acropora pulchra,FUN_015737,3,TRUE,TRUE
Acropora pulchra,FUN_015743,2,TRUE,TRUE
Acropora pulchra,FUN_015746,2,TRUE,TRUE
Acropora pulchra,FUN_015753,3,TRUE,TRUE
Acropora pulchra,FUN_015798,2,TRUE,TRUE
Acropora pulchra,FUN_015826,4,TRUE,TRUE
Acropora pulchra,FUN_015854,2,TRUE,TRUE
Acropora pulchra,FUN_015948,4,TRUE,TRUE
Acropora pulchra,FUN_016221,2,TRUE,TRUE
Acropora pulchra,FUN_016254,2,TRUE,TRUE
Acropora pulchra,FUN_016497,4,TRUE,TRUE
Acropora pulchra,FUN_016748,2,TRUE,TRUE
Acropora pulchra,FUN_016768,3,TRUE,TRUE
Acropora pulchra,FUN_016789,3,TRUE,TRUE
Acropora pulchra,FUN_016790,2,TRUE,TRUE
Acropora pulchra,FUN_016817,4,TRUE,TRUE
Acropora pulchra,FUN_016830,2,TRUE,TRUE
Acropora pulchra,FUN_016841,4,TRUE,TRUE
Acropora pulchra,FUN_016882,4,TRUE,TRUE
Acropora pulchra,FUN_016883,3,TRUE,TRUE
Acropora pulchra,FUN_016884,2,TRUE,TRUE
Acropora pulchra,FUN_016900,2,TRUE,TRUE
Acropora pulchra,FUN_016908,4,TRUE,TRUE
Acropora pulchra,FUN_016910,4,TRUE,TRUE
Acropora pulchra,FUN_016936,2,TRUE,TRUE
Acropora pulchra,FUN_016943,4,TRUE,TRUE
Acropora pulchra,FUN_016961,3,TRUE,TRUE
Acropora pulchra,FUN_017194,2,TRUE,TRUE
Acropora pulchra,FUN_017203,3,TRUE,TRUE
Acropora pulchra,FUN_017208,2,TRUE,TRUE
Acropora pulchra,FUN_017211,3,TRUE,TRUE
Acropora pulchra,FUN_017216,3,TRUE,TRUE
Acropora pulchra,FUN_017238,2,TRUE,TRUE
Acropora pulchra,FUN_017244,3,TRUE,TRUE
Acropora pulchra,FUN_017251,2,TRUE,TRUE
Acropora pulchra,FUN_017264,2,TRUE,TRUE
Acropora pulchra,FUN_017277,3,TRUE,TRUE
Acropora pulchra,FUN_017286,2,TRUE,TRUE
Acropora pulchra,FUN_017287,2,TRUE,TRUE
Acropora pulchra,FUN_017289,2,TRUE,TRUE
Acropora pulchra,FUN_017295,2,TRUE,TRUE
Acropora pulchra,FUN_017301,3,TRUE,TRUE
Acropora pulchra,FUN_017326,4,TRUE,TRUE
Acropora pulchra,FUN_017329,2,TRUE,TRUE
Acropora pulchra,FUN_017613,3,TRUE,TRUE
Acropora pulchra,FUN_017634,3,TRUE,TRUE
Acropora pulchra,FUN_017639,2,TRUE,TRUE
Acropora pulchra,FUN_017642,3,TRUE,TRUE
Acropora pulchra,FUN_017646,4,TRUE,TRUE
Acropora pulchra,FUN_017659,3,TRUE,TRUE
Acropora pulchra,FUN_017660,2,TRUE,TRUE
Acropora pulchra,FUN_017665,4,TRUE,TRUE
