gene_id,cor,pval,padj,direction
Pocillopora_meandrina_HIv1___TS.g15052.t1,0.6441805169111903,6.933747688625443e-05,0.017790365098968506,positive
Pocillopora_meandrina_HIv1___TS.g1067.t1,0.6407070720791268,7.807745055630105e-05,0.019799896734678718,positive
Pocillopora_meandrina_HIv1___TS.g10539.t1a,0.6400636525537675,7.980069938051654e-05,0.02000429256080098,positive
Pocillopora_meandrina_HIv1___RNAseq.g29405.t1,-0.6380596116609168,8.538853720989352e-05,0.021161802363756452,negative
Pocillopora_meandrina_HIv1___RNAseq.g17500.t1,0.6456908802164834,8.753974593938992e-05,0.021451172125754547,positive
Pocillopora_meandrina_HIv1___RNAseq.g14884.t1b,0.6434690680538205,9.426843495272354e-05,0.022843336643154973,positive
Pocillopora_meandrina_HIv1___RNAseq.g7727.t1a,0.6336132594636891,9.905559674225291e-05,0.02335371283731091,positive
Pocillopora_meandrina_HIv1___RNAseq.g4019.t1a,-0.6414867006109307,0.00010065793969036753,0.02335371283731091,negative
Pocillopora_meandrina_HIv1___RNAseq.g11099.t1,0.6420546665981857,9.878890864532377e-05,0.02335371283731091,positive
Pocillopora_meandrina_HIv1___RNAseq.g14191.t1,0.6415078571980756,0.0001005877566919958,0.02335371283731091,positive
Pocillopora_meandrina_HIv1___RNAseq.g25555.t2,0.6409203170585379,0.00010255313651733459,0.023542961624279476,positive
Pocillopora_meandrina_HIv1___RNAseq.g16420.t1,0.707654929039067,0.00010981198632789749,0.024946766769011627,positive
Pocillopora_meandrina_HIv1___RNAseq.g448.t1,0.6377902042899496,0.00011361297770978166,0.02554417969971782,positive
Pocillopora_meandrina_HIv1___TS.g12808.t1,0.627346463783666,0.0001216401117645489,0.02706988977013313,positive
Pocillopora_meandrina_HIv1___RNAseq.g7989.t1,-0.6266484560331271,0.00012442065867007075,0.027408991362985587,negative
Pocillopora_meandrina_HIv1___RNAseq.g20887.t2,0.6341737409219008,0.00012770652667574054,0.027851516402712252,positive
Pocillopora_meandrina_HIv1___RNAseq.g10321.t1,0.6504107553129342,0.0001336640217151709,0.028862164847387742,positive
Pocillopora_meandrina_HIv1___RNAseq.g20152.t1,0.6220723360313261,0.00014409969214742148,0.030810492020030538,positive
Pocillopora_meandrina_HIv1___RNAseq.g22366.t1,0.6216413961173253,0.0001460888246803199,0.030932535703428125,positive
Pocillopora_meandrina_HIv1___RNAseq.g29945.t1,-0.6266740630576347,0.00016199941006939588,0.03397158782887937,negative
Pocillopora_meandrina_HIv1___TS.g10659.t1,0.6172101643943602,0.00016800968538578876,0.03489641170074921,positive
Pocillopora_meandrina_HIv1___TS.g26555.t1,0.6334956079509934,0.00017138530553299045,0.03517739440935666,positive
Pocillopora_meandrina_HIv1___RNAseq.g11557.t1,-0.6163502193381496,0.00017258843604939074,0.03517739440935666,negative
Pocillopora_meandrina_HIv1___TS.g17826.t3,0.6511068191964962,0.00017522640624131707,0.03538437679367486,positive
Pocillopora_meandrina_HIv1___RNAseq.g8902.t1,-0.650564008516276,0.00017816887050913099,0.03564848529296915,negative
Pocillopora_meandrina_HIv1___TS.g991.t1,0.6137761768072655,0.00018696593523792498,0.03706854619639915,positive
Pocillopora_meandrina_HIv1___RNAseq.g289.t1,-0.6184610582940401,0.00020874732659600096,0.041014148159749415,negative
Pocillopora_meandrina_HIv1___RNAseq.g12414.t1,-0.6177176865471787,0.00021351850455195417,0.041577009515835435,negative
Pocillopora_meandrina_HIv1___RNAseq.g26487.t1,0.6085543114690017,0.00021945220950984114,0.04235427643539934,positive
Pocillopora_meandrina_HIv1___RNAseq.g3590.t1,-0.6052571410594416,0.00024246486451650877,0.04624396115617499,negative
Pocillopora_meandrina_HIv1___TS.g9245.t1,-0.6133105708900674,0.0002438468308019682,0.04624396115617499,negative
Pocillopora_meandrina_HIv1___RNAseq.g5314.t1,-0.6033294739427747,0.00025689119930140814,0.048297760047969054,negative
Pocillopora_meandrina_HIv1___RNAseq.g30098.t1,0.610572749241715,0.00026455818059687754,0.04848528874485128,positive
Pocillopora_meandrina_HIv1___RNAseq.g25725.t1,0.6105747216024663,0.00026454271519432845,0.04848528874485128,positive
Pocillopora_meandrina_HIv1___RNAseq.g11330.t1a,0.6681142101516272,0.0002623998036745164,0.04848528874485128,positive
Pocillopora_meandrina_HIv1___TS.g3209.t1,-0.610051111340259,0.00026867663329403383,0.04862235970824552,negative
Pocillopora_meandrina_HIv1___RNAseq.g29212.t1,0.6016888504086552,0.0002697650293318221,0.04862235970824552,positive
Pocillopora_meandrina_HIv1___RNAseq.g17438.t1,0.6087324833070669,0.00027934208415543487,0.04993583207660557,positive
