gene_id,regulation,is_biomin
Peve_00022229,lncRNA_only,False
Peve_00043949,lncRNA_only,False
Peve_00038807,lncRNA_only,False
Peve_00041681,lncRNA_only,False
Peve_00008132,lncRNA_only,False
Peve_00001455,lncRNA_only,False
Peve_00004647,lncRNA_only,False
Peve_00024421,lncRNA_only,False
Peve_00002843,lncRNA_only,False
Peve_00039287,lncRNA_only,False
Peve_00034903,lncRNA_only,False
Peve_00015763,lncRNA_only,False
Peve_00013781,lncRNA_only,False
Peve_00043834,lncRNA_only,False
Peve_00024565,lncRNA_only,False
Peve_00013958,lncRNA_only,False
Peve_00001524,lncRNA_only,False
Peve_00033385,lncRNA_only,False
Peve_00026569,lncRNA_only,False
Peve_00038295,lncRNA_only,False
Peve_00001966,lncRNA_only,False
Peve_00040492,lncRNA_only,False
Peve_00021817,lncRNA_only,False
Peve_00032397,lncRNA_only,False
Peve_00039061,lncRNA_only,False
Peve_00036393,lncRNA_only,False
Peve_00038780,lncRNA_only,False
Peve_00004684,lncRNA_only,False
Peve_00018002,lncRNA_only,False
Peve_00020634,lncRNA_only,False
Peve_00003409,lncRNA_only,False
Peve_00007840,lncRNA_only,False
Peve_00019860,lncRNA_only,False
Peve_00026240,lncRNA_only,False
Peve_00013201,lncRNA_only,False
Peve_00043123,lncRNA_only,False
Peve_00030213,lncRNA_only,False
Peve_00034663,lncRNA_only,False
Peve_00011018,lncRNA_only,False
Peve_00027737,lncRNA_only,False
Peve_00042291,lncRNA_only,False
Peve_00039997,lncRNA_only,False
Peve_00004496,lncRNA_only,False
Peve_00009677,lncRNA_only,False
Peve_00041355,lncRNA_only,False
Peve_00011320,lncRNA_only,False
Peve_00036531,lncRNA_only,False
Peve_00029084,lncRNA_only,False
Peve_00009941,lncRNA_only,False
Peve_00039150,lncRNA_only,False
Peve_00014634,lncRNA_only,False
Peve_00005613,lncRNA_only,False
Peve_00016502,lncRNA_only,False
Peve_00011187,lncRNA_only,False
Peve_00042174,lncRNA_only,False
Peve_00034209,lncRNA_only,False
Peve_00019954,lncRNA_only,False
Peve_00042408,lncRNA_only,False
Peve_00011041,lncRNA_only,False
Peve_00024647,lncRNA_only,False
Peve_00039834,lncRNA_only,False
Peve_00011139,lncRNA_only,False
Peve_00021891,lncRNA_only,False
