feature,id,pval,qval
exon,48283,8.348441382644012e-9,6.070189110401279e-6
exon,41810,8.440556253930254e-9,6.114351501360094e-6
exon,31556,8.518543426205838e-9,6.147990541496942e-6
exon,5987,8.566815590249632e-9,6.160014587374185e-6
exon,37784,8.630735570669401e-9,6.183160500893096e-6
exon,26047,8.712659371745701e-9,6.218987750241225e-6
exon,176048,8.788573424567403e-9,6.25027945914198e-6
exon,68522,8.958914721191036e-9,6.348254393564255e-6
exon,57034,9.050437621560548e-9,6.3523006873743155e-6
exon,132377,9.03233976501383e-9,6.3523006873743155e-6
exon,141033,9.062420924799142e-9,6.3523006873743155e-6
exon,114410,9.159361935573429e-9,6.397239800048676e-6
exon,114408,9.275862966617865e-9,6.432497370558803e-6
exon,176642,9.268218192914901e-9,6.432497370558803e-6
exon,155207,9.385749843993096e-9,6.48561970780096e-6
exon,26044,9.439480086470553e-9,6.498350859847809e-6
exon,130955,9.50421830125947e-9,6.498350859847809e-6
exon,168510,9.477498452703514e-9,6.498350859847809e-6
exon,26043,1.0335516220649765e-8,6.985017791601439e-6
exon,37782,1.0318687349020195e-8,6.985017791601439e-6
exon,58944,1.0359379576385663e-8,6.985017791601439e-6
exon,167944,1.035347874100978e-8,6.985017791601439e-6
exon,30602,1.0435429853572487e-8,7.012033113746721e-6
exon,141025,1.0577545506151864e-8,7.058845299694442e-6
exon,197535,1.0542484885078807e-8,7.058845299694442e-6
exon,84158,1.064163757114045e-8,7.0773790568693265e-6
exon,96817,1.0765821567559897e-8,7.1114273014948875e-6
exon,134086,1.076157829515978e-8,7.1114273014948875e-6
exon,64212,1.0954253504280587e-8,7.2114515366828795e-6
exon,80020,1.1155097068282771e-8,7.275163401535343e-6
exon,132381,1.116303605108726e-8,7.275163401535343e-6
exon,201824,1.112515657375468e-8,7.275163401535343e-6
exon,71739,1.124122495088642e-8,7.301700196098437e-6
exon,21322,1.138084981811005e-8,7.367833617794674e-6
exon,132379,1.1470512761846408e-8,7.401291386835888e-6
exon,183055,1.1610902239667098e-8,7.4671513334339585e-6
exon,54925,1.1661746790458949e-8,7.475179692684186e-6
exon,1840,1.1790341813977534e-8,7.518182677650171e-6
exon,12336,1.1805997512936983e-8,7.518182677650171e-6
exon,160047,1.1927444143466914e-8,7.570780050724876e-6
exon,20487,1.2097500334817823e-8,7.653789952090716e-6
exon,179554,1.2248815295379245e-8,7.699526270060584e-6
exon,186232,1.2229646406680672e-8,7.699526270060584e-6
exon,22672,1.2347200817330872e-8,7.736414598290556e-6
exon,62236,1.2733563758970945e-8,7.945606900033573e-6
exon,146115,1.2762618850636898e-8,7.945606900033573e-6
exon,25583,1.3141890908840992e-8,8.138191653626694e-6
exon,103653,1.3155484701599107e-8,8.138191653626694e-6
exon,189596,1.326960963332624e-8,8.182813960723052e-6
exon,55395,1.3354681360766563e-8,8.209295358625916e-6
exon,39732,1.3588874248071647e-8,8.249166328586397e-6
exon,53917,1.3576541779691809e-8,8.249166328586397e-6
exon,96818,1.3571632484499219e-8,8.249166328586397e-6
exon,100963,1.3569194656781747e-8,8.249166328586397e-6
exon,76538,1.3696445089195208e-8,8.262984754987415e-6
exon,151158,1.3687511679627562e-8,8.262984754987415e-6
exon,53514,1.374251290542361e-8,8.265188379019958e-6
exon,99193,1.3871325421632719e-8,8.291478395586006e-6
exon,129728,1.3841742196873952e-8,8.291478395586006e-6
exon,177520,1.4059776898278642e-8,8.378423136104494e-6
exon,6230,1.4179510232636972e-8,8.424012445038326e-6
exon,167942,1.4424571204152414e-8,8.543555146279501e-6
exon,129722,1.457540932392476e-8,8.606735037870529e-6
exon,39729,1.4651037383295318e-8,8.625256038243078e-6
exon,5804,1.5004917752747815e-8,8.754246386142067e-6
exon,101115,1.4936782588570452e-8,8.754246386142067e-6
exon,184117,1.4982532992036113e-8,8.754246386142067e-6
exon,5806,1.5118991170126606e-8,8.76829492671295e-6
exon,106537,1.5081652260384715e-8,8.76829492671295e-6
exon,76279,1.5275562370575813e-8,8.832810640296395e-6
exon,37435,1.5420544841049377e-8,8.886955132493363e-6
exon,39344,1.5519149521026065e-8,8.886955132493363e-6
exon,108228,1.5551624210630166e-8,8.886955132493363e-6
exon,167981,1.553870976334082e-8,8.886955132493363e-6
exon,39343,1.5869252800726485e-8,9.041947595791714e-6
