exon_id,n_samples,n_cpgs_nearby,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
gene-Pocillopora_meandrina_HIv1___RNAseq.g6331.t2_199880,32,14,14,14,5-fold,-2.994149673965107,5.725387925054736,-2.332803446242564,4.008486496073637,84.72799114761646,0.99,1,-2.332803446242564,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g21728.t1_6573,32,3,3,3,5-fold,-0.4737632540071265,1.4915614816843155,-4.10451407159937,8.172954164235401,0.6347784682410904,0.5,3,-0.4737632540071265,RF,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g5460.t2_172652,32,13,11,11,5-fold,-0.4444667499652029,0.8812291311393871,-0.9612405458715514,1.7165612044640464,2240.438540141312,0.1,0,-0.4444667499652029,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g3981.t1_198402,32,18,18,18,5-fold,-0.13605116862139152,0.3275113985184638,-0.21883519861839149,0.30838839871243,1544.9889362595025,0.1,1,-0.13605116862139152,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g29290.t1_135744,32,55,46,46,5-fold,-2.9518238122611145,5.538816021290551,-2.692857239913079,4.55313594264174,1.8990464944592724,0.95,34,-2.692857239913079,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g17370.t1_194178,32,8,7,7,5-fold,-1.2227447410651047,1.0472062555285353,-1.072955782199812,1.2857828878434385,964.783394669285,0.1,0,-1.072955782199812,ElasticNet,Ptua
gene-Pocillopora_meandrina_HIv1___TS.g26486.t1_6636,32,8,7,7,5-fold,0.047742866787008585,0.17264040464104013,-2.162446457231734,4.045575188091837,802.6414343815898,0.1,0,0.047742866787008585,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g535.t1_187300,32,12,12,12,5-fold,-19.876461776845527,38.62464866923495,-25.299499054157,49.205156103098076,1.305652827717929,0.99,9,-19.876461776845527,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g20295.t1_26365,32,23,23,23,5-fold,-0.13493536379873675,0.12980668086166489,-0.3224791491542577,0.33467745516071035,1.1709597187686114,0.5,23,-0.13493536379873675,RF,Ptua
gene-Pocillopora_meandrina_HIv1___RNAseq.g20542.t1_28252,32,5,5,5,5-fold,-12.0577442794062,14.518618248374821,-3.755069802229279,4.500538424849842,3.454870261457645,0.1,5,-3.755069802229279,ElasticNet,Ptua
